id,artist,song,type,tie-up-contents,key0,key1,key2,key3,key4,key5,key6,key7,key8,key9
1,嵐,ふるさと,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
2,嵐,Love So Sweet,ドラマ,花より男子,ジャニーズ,みんなで歌いたい,テンションが高い曲,00’sメガヒッツ,,,,,,
3,嵐,愛を叫べ,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
4,嵐,One Love,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
5,嵐,GUTS!,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
6,嵐,ワイルド　アット　ハート,ライブ,,ジャニーズ,みんなで歌いたい,,,,,,,,
7,嵐,Face Down,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
8,嵐,迷宮ラブソング,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
9,嵐,Don’t You Get It,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
10,嵐,truth,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
11,back number,クリスマスソング,ドラマ,5→9　私が愛したお坊さん,バンド,,クリスマス,,,,,,,
12,back number,ハッピーエンド,MV,,バンド,,恋,,,,,,,
13,back number,ヒロイン,MV,,バンド,,恋,,,,,,,
14,back number,花束,ライブ,,バンド,,恋,,,,,,,
15,back number,僕の名前を,ライブ,,バンド,,恋,,,,,,,
16,back number,高嶺の花子さん,MV,,バンド,,恋,,,,,,,
17,back number,君の恋人になったら,ライブ,,バンド,,恋,,,,,,,
18,back number,青い春,ライブ,,バンド,,元気になれる歌,,,,,,,
19,back number,繋いだ手から,MV,,バンド,,恋,,,,,,,
20,back number,わたがし,ライブ,,バンド,,,,,,,,,
21,西野カナ,トリセツ,MV,,歌姫,,結婚,,,,,,,
22,西野カナ,あなたの好きなところ,MV,,歌姫,,恋,,,,,,,
23,西野カナ,Dear Bride,MV,,歌姫,,結婚,,,,,,,
24,西野カナ,会いたくて　逢いたくて,MV,,歌姫,,恋,,,,,,,
25,西野カナ,もしも運命の人がいるのなら,MV,,歌姫,,恋,,,,,,,
26,西野カナ,Best Friend,MV,,歌姫,,友情,,,,,,,
27,西野カナ,No.1,MV,,歌姫,,恋,,,,,,,
28,西野カナ,Darling,MV,,歌姫,,恋,,,,,,,
29,西野カナ,君が好き,MV,,歌姫,,恋,,,,,,,
30,西野カナ,Have a nice day,MV,,歌姫,,女の子の応援歌,,,,,,,
31,いきものがかり,SAKURA,MV,,歌姫,,春,,,,,,,
32,いきものがかり,ありがとう,MV,,歌姫,,ありがとう,00’sメガヒッツ,,,,,,
33,いきものがかり,ラストシーン,MV,,歌姫,,,,,,,,,
34,いきものがかり,気まぐれロマンティック,MV,,歌姫,,テンションが高い曲,,,,,,,
35,いきものがかり,笑顔,MV,,歌姫,,,,,,,,,
36,いきものがかり,ブルーバード,MV,,歌姫,,,,,,,,,
37,いきものがかり,風が吹いている,ライブ,,歌姫,,元気になれる歌,,,,,,,
38,いきものがかり,ハルウタ,MV,,歌姫,,春,,,,,,,
39,いきものがかり,帰りたくなったよ,MV,,歌姫,,,,,,,,,
40,いきものがかり,YELL,ライブ,,歌姫,,,,,,,,,
41,Greeeen,キセキ,MV,,バンド,,元気になれる歌,00’sメガヒッツ,,,,,,
42,Greeeen,道,MV,,バンド,,,,,,,,,
43,Greeeen,あいうえおんがく?,MV,,バンド,,,,,,,,,
44,Greeeen,愛唄,MV,,バンド,,,,,,,,,
45,Greeeen,遥か,MV,,バンド,,,,,,,,,
46,Greeeen,始まりの唄,MV,,バンド,,,,,,,,,
47,Greeeen,オレンジ,MV,,バンド,,,,,,,,,
48,Greeeen,愛し君へ,MV,,バンド,,恋,,,,,,,
49,Greeeen,暁の君に,MV,,バンド,,,,,,,,,
50,Greeeen,扉,MV,,バンド,,,,,,,,,
51,ゆず,友　～旅立ちの時～,MV,,ボーカルグループ,2人で歌いたい,友情,,,,,,,
52,ゆず,栄光の架橋,MV,,ボーカルグループ,2人で歌いたい,元気になれる歌,,,,,,,
53,ゆず,夏色,ライブ,,ボーカルグループ,2人で歌いたい,青春,90’sメガヒッツ,,,,,,
54,ゆず,表裏一体,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
55,ゆず,雨のちハレルヤ,MV,,ボーカルグループ,2人で歌いたい,元気になれる歌,,,,,,,
56,ゆず,OLA!!,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
57,ゆず,イロトリドリ,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
58,ゆず,見上げてごらん夜の星を,MV,,ボーカルグループ,2人で歌いたい,浸る歌,,,,,,,
59,ゆず,ヒカレ,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
60,ゆず,虹,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
61,AAA,さよならの前に,MV,,ボーカルグループ,2人で歌いたい,失恋,,,,,,,
62,AAA,恋音と雨空,MV,,ボーカルグループ,2人で歌いたい,恋,10’sメガヒッツ,,,,,,
63,AAA,涙のない世界,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
64,AAA,MAGIC,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
65,AAA,Wake up!,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
66,AAA,Love So Sweet,MV,,ボーカルグループ,2人で歌いたい,恋,,,,,,,
67,AAA,愛してるのに、愛せない,MV,,ボーカルグループ,2人で歌いたい,恋,,,,,,,
68,AAA,虹,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
69,AAA,Next Stage,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
70,AAA,Lil’ Infinity,MV,,ボーカルグループ,2人で歌いたい,,,,,,,,
71,miwa,片想い,MV,,歌姫,,恋,,,,,,,
72,miwa,アイオクリ,ライブ,,歌姫,,恋,,,,,,,
73,miwa,あなたがここにいて抱きしめることができるなら,MV,,歌姫,,恋,,,,,,,
74,miwa,ヒカリヘ,MV,,歌姫,,,,,,,,,
75,miwa,don’t cry anymore,ライブ,,歌姫,,,,,,,,,
76,miwa,結　－ゆい－,MV,,歌姫,,,,,,,,,
77,miwa,オトシモノ,MV,,歌姫,,,,,,,,,
78,miwa,君に出会えたから,MV,,歌姫,,恋,,,,,,,
79,miwa,360°,ライブ,,歌姫,,,,,,,,,
80,miwa,Princess,MV,,歌姫,,,,,,,,,
81,関ジャニ∞,パノラマ,MV,,ジャニーズ,,,,,,,,,
82,関ジャニ∞,NOROSHI,ライブ,,ジャニーズ,,,,,,,,,
83,関ジャニ∞,キング　オブ　男！,MV,,ジャニーズ,,テンションが高い曲,,,,,,,
84,関ジャニ∞,がむしゃら行進曲,MV,,ジャニーズ,,テンションが高い曲,,,,,,,
85,関ジャニ∞,オモイダマ,MV,,ジャニーズ,,,,,,,,,
86,関ジャニ∞,罪と夏,MV,,ジャニーズ,,,,,,,,,
87,関ジャニ∞,ズッコケ男道,MV,,ジャニーズ,,,,,,,,,
88,関ジャニ∞,無責任ヒーロー,ライブ,,ジャニーズ,,,,,,,,,
89,関ジャニ∞,TAKOYAKI in my heart,MV,,ジャニーズ,,,,,,,,,
90,関ジャニ∞,前向きスクリーム！,MV,,ジャニーズ,,テンションが高い曲,,,,,,,
91,EXILE,道,MV,,卒業ソング,歌うま自慢,,,,,,,,
92,EXILE,ただ…逢いたくて,MV,,ダンス,歌うま自慢,恋,,,,,,,
93,EXILE,Ki・mi･ni・mu・chu,ライブ,,ダンス,,恋,,,,,,,
94,EXILE,Choo Choo TRAIN,MV,,ダンス,,テンションが高い曲,,,,,,,
95,EXILE,もっと強く,MV,,ダンス,,,,,,,,,
96,EXILE,Lovers Again,MV,,ダンス,歌うま自慢,失恋,00’sメガヒッツ,,,,,,
97,EXILE,Joy-ride ～歓喜のドライブ～,ライブ,,ダンス,,,,,,,,,
98,EXILE,NEW HORIZON,MV,,ダンス,,,,,,,,,
99,EXILE,WON’T BE LONG,ライブ,,ダンス,,,,,,,,,
100,EXILE,Ti Amo,MV,,ダンス,,,,,,,,,
101,SMAP,世界にひとつだけの花,ライブ,,ジャニーズ,みんなで歌いたい,元気になれる歌,00’sメガヒッツ,,,,,,
102,SMAP,夜空ノムコウ,ライブ,,ジャニーズ,みんなで歌いたい,心が疲れたときに聴きたい歌,00’sメガヒッツ,,,,,,
103,SMAP,ありがとう,ライブ,,ジャニーズ,みんなで歌いたい,ありがとう,,,,,,,
104,SMAP,BEST FRIEND,ライブ,,ジャニーズ,みんなで歌いたい,友情,,,,,,,
105,SMAP,STAY,ライブ,,ジャニーズ,みんなで歌いたい,,,,,,,,
106,SMAP,オレンジ,ライブ,,ジャニーズ,みんなで歌いたい,,,,,,,,
107,SMAP,らいおんハート,ライブ,,ジャニーズ,みんなで歌いたい,,00’sメガヒッツ,,,,,,
108,SMAP,この瞬間、きっと夢じゃない,ライブ,,ジャニーズ,みんなで歌いたい,,,,,,,,
109,SMAP,ダイナマイト,ライブ,,ジャニーズ,みんなで歌いたい,恋,,,,,,,
110,SMAP,青いイナズマ,ライブ,,ジャニーズ,みんなで歌いたい,恋,,,,,,,
111,Mr.Children,Tomorrow Never Knows,ライブ,,バンド,,,90’sメガヒッツ,,,,,,
112,Mr.Children,名もなき詩,ライブ,,バンド,,,90’sメガヒッツ,,,,,,
113,Mr.Children,Innocent World,ライブ,,バンド,,元気になれる歌,90’sメガヒッツ,,,,,,
114,Mr.Children,HANABI,ライブ,,バンド,,元気になれる歌,00’sメガヒッツ,,,,,,
115,Mr.Children,抱きしめたい,ライブ,,バンド,,恋,,,,,,,
116,Mr.Children,しるし,ライブ,,バンド,,,,,,,,,
117,Mr.Children,Sign,ライブ,,バンド,,,,,,,,,
118,Mr.Children,足音　～Be Strong,MV,,バンド,,元気になれる歌,,,,,,,
119,Mr.Children,シーソーゲーム　～勇敢な恋の歌～,ライブ,,バンド,,恋,90’sメガヒッツ,,,,,,
120,Mr.Children,365日,ライブ,,バンド,,,,,,,,,
121,Kinki Kids,愛のかたまり,ライブ,,ジャニーズ,2人で歌いたい,恋,,,,,,,
122,Kinki Kids,硝子の少年,MV,,ジャニーズ,2人で歌いたい,,90’sメガヒッツ,,,,,,
123,Kinki Kids,道は手ずから夢の花,ライブ,,ジャニーズ,2人で歌いたい,,,,,,,,
124,Kinki Kids,雨のMelody,ライブ,,ジャニーズ,2人で歌いたい,,,,,,,,
125,Kinki Kids,薔薇と太陽,ライブ,,ジャニーズ,2人で歌いたい,,,,,,,,
126,Kinki Kids,Harmony of December,ライブ,,ジャニーズ,2人で歌いたい,,,,,,,,
127,Kinki Kids,雪白の月,ライブ,,ジャニーズ,2人で歌いたい,,,,,,,,
128,Kinki Kids,愛されるより愛したい,MV,,ジャニーズ,2人で歌いたい,恋,90’sメガヒッツ,,,,,,
129,Kinki Kids,フラワー,ライブ,,ジャニーズ,2人で歌いたい,,,,,,,,
130,Kinki Kids,ジェットコースター・ロマンス,ライブ,,ジャニーズ,2人で歌いたい,恋,,,,,,,
131,BUMP OF CHIKEN,天体観測,MV,,バンド,青春,元気になれる歌,00’sメガヒッツ,,,,,,
132,BUMP OF CHIKEN,ray,ライブ,,バンド,,,,,,,,,
133,BUMP OF CHIKEN,車輪の唄,ライブ,,バンド,,,,,,,,,
134,BUMP OF CHIKEN,"Hello, World!",ライブ,,バンド,,テンションが高い曲,,,,,,,
135,BUMP OF CHIKEN,GO,ライブ,,バンド,,,,,,,,,
136,BUMP OF CHIKEN,sailing day,ライブ,,バンド,,,,,,,,,
137,BUMP OF CHIKEN,カルマ,ライブ,,バンド,元気になれる歌,,,,,,,,
138,BUMP OF CHIKEN,友達の唄,ライブ,,バンド,,友情,,,,,,,
139,BUMP OF CHIKEN,ファイター,ライブ,,バンド,,,,,,,,,
140,BUMP OF CHIKEN,スノースマイル,ライブ,,バンド,,,,,,,,,
141,宇多田ヒカル,花束を君に,MV,とと姉ちゃん,歌姫,歌うま自慢,,,,,,,,
142,宇多田ヒカル,First Love,MV,,歌姫,歌うま自慢,失恋,90’sメガヒッツ,,,,,,
143,宇多田ヒカル,光,MV,,歌姫,歌うま自慢,,,,,,,,
144,宇多田ヒカル,真夏の通り雨,MV,,歌姫,歌うま自慢,,,,,,,,
145,宇多田ヒカル,Flavor Of Life,MV,花より男子,歌姫,歌うま自慢,恋,00’sメガヒッツ,,,,,,
146,宇多田ヒカル,Come Back To Me,MV,,歌姫,歌うま自慢,恋,,,,,,,
147,宇多田ヒカル,Prisoner Of Love,MV,,歌姫,歌うま自慢,恋,,,,,,,
148,宇多田ヒカル,Movin’ on without you,MV,,歌姫,歌うま自慢,恋,,,,,,,
149,宇多田ヒカル,Can You Keep A Secret?,MV,,歌姫,歌うま自慢,,,,,,,,
150,宇多田ヒカル,Traveling,MV,,歌姫,歌うま自慢,,00’sメガヒッツ,,,,,,
151,TOKIO,AMBITIOUS JAPAN!,ライブ,,ジャニーズ,バンド,,,,,,,,
152,TOKIO,LOVE YOU ONLY,ライブ,,ジャニーズ,バンド,恋,,,,,,,
153,TOKIO,リリック,ライブ,,ジャニーズ,バンド,,,,,,,,
154,TOKIO,花唄,ライブ,,ジャニーズ,バンド,,,,,,,,
155,TOKIO,ソリッドステート・スカウター,アニメ,ドラゴンボールZ,ジャニーズ,バンド,,,,,,,,
156,TOKIO,愛！Wanna be with you…,ドラマ,家政夫のミタゾノ,ジャニーズ,バンド,恋,,,,,,,
157,TOKIO,ハートを磨くっきゃない,ライブ,,ジャニーズ,バンド,,,,,,,,
158,TOKIO,Mr.Traveling Man,ライブ,,ジャニーズ,バンド,,,,,,,,
159,TOKIO,KIBOU,ライブ,,ジャニーズ,バンド,元気になれる歌,,,,,,,
160,TOKIO,僕の恋愛事情と台所事情,ライブ,,ジャニーズ,バンド,恋,,,,,,,
161,Perfume,TOKYO GIRL,ドラマ,東京タラレバ娘,ダンス,,,,,,,,,
162,Perfume,FLASH,MV,,ダンス,,,,,,,,,
163,Perfume,レーザービーム,MV,,ダンス,,,,,,,,,
164,Perfume,チョコレイト・ディスコ,MV,,ダンス,,,,,,,,,
165,Perfume,Pick Me Up,MV,,ダンス,,,,,,,,,
166,Perfume,Spending All My Time,MV,,ダンス,,,,,,,,,
167,Perfume,Spring of Life,MV,,ダンス,,,,,,,,,
168,Perfume,Magic of Love,MV,,ダンス,恋,,,,,,,,
169,Perfume,STAR TRAINB,MV,,ダンス,,,,,,,,,
170,Perfume,ポリリズム,MV,,ダンス,,,00’sメガヒッツ,,,,,,
171,B’z,Ultra Soul,ライブ,,ギター,,テンションが高い曲,00’sメガヒッツ,,,,,,
172,B’z,LOVE PHANTOM,ライブ,,ギター,,恋,,,,,,,
173,B’z,ALONE,ライブ,,ギター,歌うま自慢,,90’sメガヒッツ,,,,,,
174,B’z,いつかのメリークリスマス,ライブ,,ギター,,クリスマス,,,,,,,
175,B’z,ギリギリchop,アニメ,名探偵コナン,ギター,,,,,,,,,
176,B’z,Calling,ライブ,,ギター,,,,,,,,,
177,B’z,BLOWIN’,ライブ,,ギター,,,,,,,,,
178,B’z,ZERO,ライブ,,ギター,,,,,,,,,
179,B’z,LADY NAVIGATION,ライブ,,ギター,,テンションが高い曲,90’sメガヒッツ,,,,,,
180,B’z,"EASY COME, EASY GO!",ライブ,,ギター,,,,,,,,,
181,aiko,恋をしたのは,ライブ,,歌姫,,恋,,,,,,,
182,aiko,カブトムシ,ライブ,,歌姫,,恋,00’sメガヒッツ,,,,,,
183,aiko,キラキラ,ライブ,,歌姫,,,,,,,,,
184,aiko,花火,MV,,歌姫,,夏,,,,,,,
185,aiko,ボーイフレンド,ライブ,,歌姫,,恋,,,,,,,
186,aiko,えりあし,ライブ,,歌姫,,,,,,,,,
187,aiko,桜の時,MV,,歌姫,,春,,,,,,,
188,aiko,透明ドロップ,ライブ,,歌姫,,,,,,,,,
189,aiko,明日の歌,ライブ,,歌姫,,,,,,,,,
190,aiko,くちびる,ライブ,,歌姫,,恋,,,,,,,
191,DREAMS COME TRUE,何度でも,ライブ,,歌姫,歌うま自慢,恋,,,,,,,
192,DREAMS COME TRUE,未来予想図,ライブ,,歌姫,歌うま自慢,恋,,,,,,,
193,DREAMS COME TRUE,やさしいキスをして,ライブ,,歌姫,歌うま自慢,恋,,,,,,,
194,DREAMS COME TRUE,大阪LOVER,ライブ,,歌姫,歌うま自慢,,,,,,,,
195,DREAMS COME TRUE,朝がまた来る,ライブ,,歌姫,歌うま自慢,恋,,,,,,,
196,DREAMS COME TRUE,あなたのように,ライブ,,歌姫,歌うま自慢,ありがとう,,,,,,,
197,DREAMS COME TRUE,WINTER SONG,ライブ,,歌姫,歌うま自慢,クリスマス,90’sメガヒッツ,,,,,,
198,DREAMS COME TRUE,未来予想図Ⅱ,ライブ,,歌姫,歌うま自慢,幸せな恋,90’sメガヒッツ,,,,,,
199,DREAMS COME TRUE,その先へ,ライブ,,歌姫,歌うま自慢,,,,,,,,
200,DREAMS COME TRUE,うれしい！たのしい！大好き！,ライブ,,歌姫,歌うま自慢,幸せな恋,90’sメガヒッツ,,,,,,
201,スピッツ,チェリー,MV,,バンド,,恋,90’sメガヒッツ,,,,,,
202,スピッツ,ロビンソン,MV,,バンド,,,90’sメガヒッツ,,,,,,
203,スピッツ,空も飛べるはず,MV,,バンド,,元気になれる歌,,,,,,,
204,スピッツ,楓,MV,,バンド,,,,,,,,,
205,スピッツ,春の歌,MV,,バンド,,春,,,,,,,
206,スピッツ,魔法のコトバ,MV,,バンド,,,,,,,,,
207,スピッツ,正夢,MV,,バンド,,恋,,,,,,,
208,スピッツ,みなと,MV,,バンド,,,,,,,,,
209,スピッツ,愛のことば,MV,,バンド,,恋,,,,,,,
210,スピッツ,遥か,MV,,バンド,,,,,,,,,
211,安室奈美恵,Hero,MV,,歌姫,ダンス,,,,,,,,
212,安室奈美恵,CAN YOU CELEBRATE?,MV,,歌姫,ダンス,結婚,90’sメガヒッツ,,,,,,
213,安室奈美恵,Mint,MV,,歌姫,ダンス,,,,,,,,
214,安室奈美恵,Baby Don’t Cry,MV,,歌姫,ダンス,女の子の応援歌,90’sメガヒッツ,,,,,,
215,安室奈美恵,Dear Diary,MV,,歌姫,ダンス,,,,,,,,
216,安室奈美恵,SWEET 19 BLUES,MV,,歌姫,ダンス,青春,,,,,,,
217,安室奈美恵,Fight Together,MV,,歌姫,ダンス,,,,,,,,
218,安室奈美恵,ALL FOR YOU,MV,,歌姫,ダンス,,,,,,,,
219,安室奈美恵,"WANT ME, WANT ME",ライブ,,歌姫,ダンス,,,,,,,,
220,安室奈美恵,NEVER END,MV,,歌姫,ダンス,,,,,,,,
221,Superfly,愛をこめて花束を,MV,,歌姫,歌うま自慢,ありがとう,00’sメガヒッツ,,,,,,
222,Superfly,タマシイレボリューション,MV,,歌姫,歌うま自慢,,,,,,,,
223,Superfly,Beautiful,MV,,歌姫,歌うま自慢,,,,,,,,
224,Superfly,黒い雫,MV,,歌姫,歌うま自慢,,,,,,,,
225,Superfly,On Your Side,MV,,歌姫,歌うま自慢,,,,,,,,
226,Superfly,Bi-Li-Li Emotion,MV,,歌姫,歌うま自慢,女の子の応援歌,,,,,,,
227,Superfly,やさしい気持ちで,MV,,歌姫,歌うま自慢,,,,,,,,
228,Superfly,Alright!,MV,,歌姫,歌うま自慢,,,,,,,,
229,Superfly,輝く月のように,MV,,歌姫,歌うま自慢,,,,,,,,
230,Superfly,White Light,MV,,歌姫,歌うま自慢,,,,,,,,
231,サザンオールスターズ,TSUNAMI,ライブ,,バンド,歌うま自慢,失恋,00’sメガヒッツ,,,,,,
232,サザンオールスターズ,いとしのエリー,ライブ,,バンド,歌うま自慢,恋,70’sメガヒッツ,,,,,,
233,サザンオールスターズ,真夏の果実,映画,稲村ジェーン,バンド,歌うま自慢,恋,80’sメガヒッツ,,,,,,
234,サザンオールスターズ,涙のキッス,ライブ,,バンド,歌うま自慢,恋,80’sメガヒッツ,,,,,,
235,サザンオールスターズ,エロティカ・セブン,ライブ,,バンド,歌うま自慢,失恋,90’sメガヒッツ,,,,,,
236,サザンオールスターズ,希望の轍,ライブ,,バンド,歌うま自慢,元気になれる歌,80’sメガヒッツ,,,,,,
237,サザンオールスターズ,東京VICTORY,ライブ,,バンド,歌うま自慢,,,,,,,,
238,サザンオールスターズ,勝手にシンドバッド,ライブ,,バンド,歌うま自慢,,70’sメガヒッツ,,,,,,
239,サザンオールスターズ,愛の言霊,ライブ,,バンド,歌うま自慢,,90’sメガヒッツ,,,,,,
240,サザンオールスターズ,蛍,ライブ,,バンド,歌うま自慢,,,,,,,,
241,JUJU,やさしさで溢れるように,MV,,歌姫,歌うま自慢,,00’sメガヒッツ,,,,,,
242,JUJU,この夜を止めてよ,MV,,歌姫,歌うま自慢,失恋,,,,,,,
243,JUJU,奇跡を望むなら…,MV,,歌姫,歌うま自慢,恋,,,,,,,
244,JUJU,What You Want,MV,,歌姫,歌うま自慢,恋,,,,,,,
245,JUJU,六本木心中,ライブ,,歌姫,歌うま自慢,カバー曲,,,,,,,
246,JUJU,明日がくるなら,MV,,歌姫,歌うま自慢,,,,,,,,
247,JUJU,また明日・・・,MV,,歌姫,歌うま自慢,,,,,,,,
248,JUJU,ラヴ・イズ・オーヴァー,MV,,歌姫,歌うま自慢,失恋,,,,,,,
249,JUJU,PLAYBACK,MV,,歌姫,歌うま自慢,失恋,,,,,,,
250,JUJU,あなた以外誰も愛せない,MV,,歌姫,歌うま自慢,,,,,,,,
251,JUJU,Because of You,音楽番組,CDTV,歌姫,歌うま自慢,恋,,,,,,,
252,Sexy Zone,ROCK THA TOWN,音楽番組,CDTV,ジャニーズ,,テンションが高い曲,,,,,,,
253,乃木坂46,インフルエンサー,音楽番組,CDTV,アイドルグループ,,,,,,,,,
254,flumpool,ラストコール,音楽番組,CDTV,バンド,,,,,,,,,
255,AKB48,シュートサイン,音楽番組,CDTV,アイドルグループ,,恋,,,,,,,
256,大原櫻子,ひらり,音楽番組,CDTV,歌姫,,春,,,,,,,
257,平井堅,僕の心をつくってよ,音楽番組,CDTV,男性ソロ,歌うま自慢,,,,,,,,
258,モーニング娘。’17,ジェラシー　ジェラシー,音楽番組,CDTV,ダンス,,恋,,,,,,,
259,Kis-My-Ft2,Tonight,音楽番組,CDTV,ジャニーズ,,,,,,,,,
260,斉藤和義,遺伝,音楽番組,CDTV,男性ソロ,,心が疲れたときに聴きたい歌,,,,,,,
261,EXILE THE SECOND,SUPER FLY,音楽番組,CDTV,ダンス,,,,,,,,,
262,Perfume,TOKYO GIRL,音楽番組,CDTV,ダンス,,,,,,,,,
263,AAA,MAGIC,音楽番組,CDTV,ボーカルグループ,,,,,,,,,
264,家入レオ,それぞれの明日へ,音楽番組,CDTV,歌姫,,,,,,,,,
265,久保田利伸,You were mine,ドラマ,君の瞳をタイホする！,トレンディ,歌うま自慢,恋,,,,,,,
266,カルロストシキ＆オメガトライブ,アクアマリンのままでいて,ドラマ,抱きしめたい！,トレンディ,,恋,,,,,,,
267,杏理,Groove・A・Go・Go,ドラマ,ハートに火をつけて！,トレンディ,,恋,,,,,,,
268,小田和正,ラブ・ストーリーは突然に,ドラマ,東京ラブストーリー,男性ソロ,,恋,90’sメガヒッツ,,,,,,
269,浜田省吾,悲しみは雪のように,ドラマ,愛という名のもとに,男性ソロ,,,,,,,,,
270,財津和夫,サボテンの花,ドラマ,ひとつ屋根の下,男性ソロ,,失恋,90’sメガヒッツ,,,,,,
